"Step","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - sparsity","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - sparsity__MIN","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - sparsity__MAX","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - sparsity","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - sparsity__MIN","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - sparsity__MAX","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - sparsity","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - sparsity__MIN","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - sparsity__MAX","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - sparsity","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - sparsity__MIN","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - sparsity__MAX","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - sparsity","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - sparsity__MIN","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - sparsity__MAX","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - sparsity","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - sparsity__MIN","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - sparsity__MAX","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - sparsity","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - sparsity__MIN","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - sparsity__MAX"
"1","69.13300000000001","69.13300000000001","69.13300000000001","67.764","67.764","67.764","68.371","68.371","68.371","77.28199999999998","77.28199999999998","77.28199999999998","78.821","78.821","78.821","80.01800000000001","80.01800000000001","80.01800000000001","85.09","85.09","85.09"
"2","70.58800000000001","70.58800000000001","70.58800000000001","81.556","81.556","81.556","80.629","80.629","80.629","86.80800000000002","86.80800000000002","86.80800000000002","87.38199999999999","87.38199999999999","87.38199999999999","87.41800000000002","87.41800000000002","87.41800000000002","89.40199999999999","89.40199999999999","89.40199999999999"
"3","70.929","70.929","70.929","84.25100000000002","84.25100000000002","84.25100000000002","82.205","82.205","82.205","86.02800000000002","86.02800000000002","86.02800000000002","87.35","87.35","87.35","86.77100000000002","86.77100000000002","86.77100000000002","89.77399999999999","89.77399999999999","89.77399999999999"
"4","74.729","74.729","74.729","80.514","80.514","80.514","81.315","81.315","81.315","85.57199999999999","85.57199999999999","85.57199999999999","86.94800000000001","86.94800000000001","86.94800000000001","86.57100000000001","86.57100000000001","86.57100000000001","89.77800000000002","89.77800000000002","89.77800000000002"
"5","63.24","63.24","63.24","80.014","80.014","80.014","83.395","83.395","83.395","85.90399999999998","85.90399999999998","85.90399999999998","86.93800000000002","86.93800000000002","86.93800000000002","86.45399999999998","86.45399999999998","86.45399999999998","89.75899999999999","89.75899999999999","89.75899999999999"
"6","62.355","62.355","62.355","80.129","80.129","80.129","81.914","81.914","81.914","85.31399999999998","85.31399999999998","85.31399999999998","86.80899999999998","86.80899999999998","86.80899999999998","86.37600000000002","86.37600000000002","86.37600000000002","89.73600000000002","89.73600000000002","89.73600000000002"
"7","56.43800000000002","56.43800000000002","56.43800000000002","78.98","78.98","78.98","83.23300000000002","83.23300000000002","83.23300000000002","85.52","85.52","85.52","86.74600000000001","86.74600000000001","86.74600000000001","86.534","86.534","86.534","89.72899999999998","89.72899999999998","89.72899999999998"
"8","53.41","53.41","53.41","81.015","81.015","81.015","79.08499999999998","79.08499999999998","79.08499999999998","85.23300000000002","85.23300000000002","85.23300000000002","86.785","86.785","86.785","86.23399999999998","86.23399999999998","86.23399999999998","89.72600000000001","89.72600000000001","89.72600000000001"
"9","52.25800000000001","52.25800000000001","52.25800000000001","79.089","79.089","79.089","82.36100000000002","82.36100000000002","82.36100000000002","85.65","85.65","85.65","86.56199999999998","86.56199999999998","86.56199999999998","86.445","86.445","86.445","89.71300000000001","89.71300000000001","89.71300000000001"
"10","50.168000000000006","50.168000000000006","50.168000000000006","76.07300000000001","76.07300000000001","76.07300000000001","80.27699999999999","80.27699999999999","80.27699999999999","85.45","85.45","85.45","86.75300000000001","86.75300000000001","86.75300000000001","86.56699999999998","86.56699999999998","86.56699999999998","89.70300000000002","89.70300000000002","89.70300000000002"
"11","50.26400000000001","50.26400000000001","50.26400000000001","77.60800000000002","77.60800000000002","77.60800000000002","80.44699999999999","80.44699999999999","80.44699999999999","85.61199999999998","85.61199999999998","85.61199999999998","87.00199999999998","87.00199999999998","87.00199999999998","86.54","86.54","86.54","89.69300000000001","89.69300000000001","89.69300000000001"
"12","49.913","49.913","49.913","78.23","78.23","78.23","81.58199999999998","81.58199999999998","81.58199999999998","85.856","85.856","85.856","87.12600000000002","87.12600000000002","87.12600000000002","86.70300000000002","86.70300000000002","86.70300000000002","89.68399999999998","89.68399999999998","89.68399999999998"
"13","47.849000000000004","47.849000000000004","47.849000000000004","76.059","76.059","76.059","80.96699999999998","80.96699999999998","80.96699999999998","85.85","85.85","85.85","87.07800000000002","87.07800000000002","87.07800000000002","86.84800000000001","86.84800000000001","86.84800000000001","89.67300000000002","89.67300000000002","89.67300000000002"
"14","47.77900000000001","47.77900000000001","47.77900000000001","76.45199999999998","76.45199999999998","76.45199999999998","80.19199999999998","80.19199999999998","80.19199999999998","85.96199999999999","85.96199999999999","85.96199999999999","87.31300000000002","87.31300000000002","87.31300000000002","86.95399999999998","86.95399999999998","86.95399999999998","89.66","89.66","89.66"
"15","47.51400000000001","47.51400000000001","47.51400000000001","75.561","75.561","75.561","80.42300000000002","80.42300000000002","80.42300000000002","86.08800000000001","86.08800000000001","86.08800000000001","87.25800000000001","87.25800000000001","87.25800000000001","87.21100000000001","87.21100000000001","87.21100000000001","89.65199999999999","89.65199999999999","89.65199999999999"
"16","50.409000000000006","50.409000000000006","50.409000000000006","75.699","75.699","75.699","81.41300000000001","81.41300000000001","81.41300000000001","86.2","86.2","86.2","87.40600000000002","87.40600000000002","87.40600000000002","87.13100000000001","87.13100000000001","87.13100000000001","89.64","89.64","89.64"
"17","47.37800000000001","47.37800000000001","47.37800000000001","75.501","75.501","75.501","78.864","78.864","78.864","86.49300000000001","86.49300000000001","86.49300000000001","87.51699999999998","87.51699999999998","87.51699999999998","87.269","87.269","87.269","89.62800000000001","89.62800000000001","89.62800000000001"
