"Step","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - sparsity","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - sparsity__MIN","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - sparsity__MAX","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - sparsity","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - sparsity__MIN","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - sparsity__MAX","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - sparsity","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - sparsity__MIN","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - sparsity__MAX","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - sparsity","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - sparsity__MIN","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - sparsity__MAX","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - sparsity","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - sparsity__MIN","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - sparsity__MAX","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - sparsity","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - sparsity__MIN","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - sparsity__MAX","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - sparsity","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - sparsity__MIN","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - sparsity__MAX","powerprop-a1.0-s0.0-cifar100_lda1000.0-FedAvg-e1-lr0.5 - sparsity","powerprop-a1.0-s0.0-cifar100_lda1000.0-FedAvg-e1-lr0.5 - sparsity__MIN","powerprop-a1.0-s0.0-cifar100_lda1000.0-FedAvg-e1-lr0.5 - sparsity__MAX"
"1","68.371","68.371","68.371","67.764","67.764","67.764","69.13300000000001","69.13300000000001","69.13300000000001","85.09","85.09","85.09","80.01800000000001","80.01800000000001","80.01800000000001","78.821","78.821","78.821","77.28199999999998","77.28199999999998","77.28199999999998","0","0","0"
"2","80.629","80.629","80.629","81.556","81.556","81.556","70.58800000000001","70.58800000000001","70.58800000000001","89.40199999999999","89.40199999999999","89.40199999999999","87.41800000000002","87.41800000000002","87.41800000000002","87.38199999999999","87.38199999999999","87.38199999999999","86.80800000000002","86.80800000000002","86.80800000000002","0","0","0"
"3","82.205","82.205","82.205","84.25100000000002","84.25100000000002","84.25100000000002","70.929","70.929","70.929","89.77399999999999","89.77399999999999","89.77399999999999","86.77100000000002","86.77100000000002","86.77100000000002","87.35","87.35","87.35","86.02800000000002","86.02800000000002","86.02800000000002","0","0","0"
"4","81.315","81.315","81.315","80.514","80.514","80.514","74.729","74.729","74.729","89.77800000000002","89.77800000000002","89.77800000000002","86.57100000000001","86.57100000000001","86.57100000000001","86.94800000000001","86.94800000000001","86.94800000000001","85.57199999999999","85.57199999999999","85.57199999999999","0","0","0"
"5","83.395","83.395","83.395","80.014","80.014","80.014","63.24","63.24","63.24","89.75899999999999","89.75899999999999","89.75899999999999","86.45399999999998","86.45399999999998","86.45399999999998","86.93800000000002","86.93800000000002","86.93800000000002","85.90399999999998","85.90399999999998","85.90399999999998","0","0","0"
"6","81.914","81.914","81.914","80.129","80.129","80.129","62.355","62.355","62.355","89.73600000000002","89.73600000000002","89.73600000000002","86.37600000000002","86.37600000000002","86.37600000000002","86.80899999999998","86.80899999999998","86.80899999999998","85.31399999999998","85.31399999999998","85.31399999999998","0","0","0"
"7","83.23300000000002","83.23300000000002","83.23300000000002","78.98","78.98","78.98","56.43800000000002","56.43800000000002","56.43800000000002","89.72899999999998","89.72899999999998","89.72899999999998","86.534","86.534","86.534","86.74600000000001","86.74600000000001","86.74600000000001","85.52","85.52","85.52","0","0","0"
"8","79.08499999999998","79.08499999999998","79.08499999999998","81.015","81.015","81.015","53.41","53.41","53.41","89.72600000000001","89.72600000000001","89.72600000000001","86.23399999999998","86.23399999999998","86.23399999999998","86.785","86.785","86.785","85.23300000000002","85.23300000000002","85.23300000000002","0","0","0"
"9","82.36100000000002","82.36100000000002","82.36100000000002","79.089","79.089","79.089","52.25800000000001","52.25800000000001","52.25800000000001","89.71300000000001","89.71300000000001","89.71300000000001","86.445","86.445","86.445","86.56199999999998","86.56199999999998","86.56199999999998","85.65","85.65","85.65","0","0","0"
"10","80.27699999999999","80.27699999999999","80.27699999999999","76.07300000000001","76.07300000000001","76.07300000000001","50.168000000000006","50.168000000000006","50.168000000000006","89.70300000000002","89.70300000000002","89.70300000000002","86.56699999999998","86.56699999999998","86.56699999999998","86.75300000000001","86.75300000000001","86.75300000000001","85.45","85.45","85.45","0","0","0"
"11","80.44699999999999","80.44699999999999","80.44699999999999","77.60800000000002","77.60800000000002","77.60800000000002","50.26400000000001","50.26400000000001","50.26400000000001","89.69300000000001","89.69300000000001","89.69300000000001","86.54","86.54","86.54","87.00199999999998","87.00199999999998","87.00199999999998","85.61199999999998","85.61199999999998","85.61199999999998","0","0","0"
"12","81.58199999999998","81.58199999999998","81.58199999999998","78.23","78.23","78.23","49.913","49.913","49.913","89.68399999999998","89.68399999999998","89.68399999999998","86.70300000000002","86.70300000000002","86.70300000000002","87.12600000000002","87.12600000000002","87.12600000000002","85.856","85.856","85.856","0","0","0"
"13","80.96699999999998","80.96699999999998","80.96699999999998","76.059","76.059","76.059","47.849000000000004","47.849000000000004","47.849000000000004","89.67300000000002","89.67300000000002","89.67300000000002","86.84800000000001","86.84800000000001","86.84800000000001","87.07800000000002","87.07800000000002","87.07800000000002","85.85","85.85","85.85","0","0","0"
"14","80.19199999999998","80.19199999999998","80.19199999999998","76.45199999999998","76.45199999999998","76.45199999999998","47.77900000000001","47.77900000000001","47.77900000000001","89.66","89.66","89.66","86.95399999999998","86.95399999999998","86.95399999999998","87.31300000000002","87.31300000000002","87.31300000000002","85.96199999999999","85.96199999999999","85.96199999999999","0","0","0"
"15","80.42300000000002","80.42300000000002","80.42300000000002","75.561","75.561","75.561","47.51400000000001","47.51400000000001","47.51400000000001","89.65199999999999","89.65199999999999","89.65199999999999","87.21100000000001","87.21100000000001","87.21100000000001","87.25800000000001","87.25800000000001","87.25800000000001","86.08800000000001","86.08800000000001","86.08800000000001","0","0","0"
"16","81.41300000000001","81.41300000000001","81.41300000000001","75.699","75.699","75.699","50.409000000000006","50.409000000000006","50.409000000000006","89.64","89.64","89.64","87.13100000000001","87.13100000000001","87.13100000000001","87.40600000000002","87.40600000000002","87.40600000000002","86.2","86.2","86.2","0","0","0"
"17","78.864","78.864","78.864","75.501","75.501","75.501","47.37800000000001","47.37800000000001","47.37800000000001","89.62800000000001","89.62800000000001","89.62800000000001","87.269","87.269","87.269","87.51699999999998","87.51699999999998","87.51699999999998","86.49300000000001","86.49300000000001","86.49300000000001","0","0","0"
"18","79.94","79.94","79.94","76.13500000000002","76.13500000000002","76.13500000000002","47.70400000000001","47.70400000000001","47.70400000000001","89.61399999999999","89.61399999999999","89.61399999999999","87.29300000000002","87.29300000000002","87.29300000000002","87.63100000000001","87.63100000000001","87.63100000000001","86.47300000000001","86.47300000000001","86.47300000000001","0","0","0"
"19","80.31300000000002","80.31300000000002","80.31300000000002","74.815","74.815","74.815","48.48199999999999","48.48199999999999","48.48199999999999","89.60199999999999","89.60199999999999","89.60199999999999","87.42300000000002","87.42300000000002","87.42300000000002","87.77","87.77","87.77","86.69600000000001","86.69600000000001","86.69600000000001","0","0","0"
"20","79.63500000000002","79.63500000000002","79.63500000000002","75.249","75.249","75.249","46.565","46.565","46.565","89.58600000000001","89.58600000000001","89.58600000000001","87.40100000000001","87.40100000000001","87.40100000000001","87.76300000000002","87.76300000000002","87.76300000000002","86.826","86.826","86.826","0","0","0"
"21","79.37699999999998","79.37699999999998","79.37699999999998","75.745","75.745","75.745","46.685","46.685","46.685","89.57899999999998","89.57899999999998","89.57899999999998","87.505","87.505","87.505","87.75300000000001","87.75300000000001","87.75300000000001","86.87100000000001","86.87100000000001","86.87100000000001","0","0","0"
"22","79.456","79.456","79.456","74.55800000000002","74.55800000000002","74.55800000000002","47.98800000000001","47.98800000000001","47.98800000000001","89.56100000000002","89.56100000000002","89.56100000000002","87.48800000000001","87.48800000000001","87.48800000000001","87.86100000000002","87.86100000000002","87.86100000000002","87.02600000000001","87.02600000000001","87.02600000000001","0","0","0"
"23","79.29199999999999","79.29199999999999","79.29199999999999","74.791","74.791","74.791","47.41","47.41","47.41","89.54199999999999","89.54199999999999","89.54199999999999","87.51600000000002","87.51600000000002","87.51600000000002","87.81399999999998","87.81399999999998","87.81399999999998","87.17699999999999","87.17699999999999","87.17699999999999","0","0","0"
"24","78.8","78.8","78.8","75.626","75.626","75.626","47.85900000000001","47.85900000000001","47.85900000000001","89.53300000000002","89.53300000000002","89.53300000000002","87.51699999999998","87.51699999999998","87.51699999999998","87.81300000000002","87.81300000000002","87.81300000000002","87.19699999999999","87.19699999999999","87.19699999999999","0","0","0"
"25","78.82300000000001","78.82300000000001","78.82300000000001","75.534","75.534","75.534","48.41199999999999","48.41199999999999","48.41199999999999","89.52199999999999","89.52199999999999","89.52199999999999","87.475","87.475","87.475","87.76100000000001","87.76100000000001","87.76100000000001","87.13600000000001","87.13600000000001","87.13600000000001","0","0","0"
"26","79.495","79.495","79.495","74.68800000000002","74.68800000000002","74.68800000000002","48.038","48.038","48.038","89.50100000000002","89.50100000000002","89.50100000000002","87.49600000000001","87.49600000000001","87.49600000000001","87.735","87.735","87.735","87.17699999999999","87.17699999999999","87.17699999999999","0","0","0"
"27","77.779","77.779","77.779","75.12","75.12","75.12","48.08400000000001","48.08400000000001","48.08400000000001","89.49100000000001","89.49100000000001","89.49100000000001","87.48199999999999","87.48199999999999","87.48199999999999","87.82399999999998","87.82399999999998","87.82399999999998","87.20699999999998","87.20699999999998","87.20699999999998","0","0","0"
"28","78.99199999999999","78.99199999999999","78.99199999999999","74.51199999999999","74.51199999999999","74.51199999999999","48.70199999999999","48.70199999999999","48.70199999999999","89.47899999999998","89.47899999999998","89.47899999999998","87.51199999999999","87.51199999999999","87.51199999999999","87.835","87.835","87.835","87.22800000000001","87.22800000000001","87.22800000000001","0","0","0"
"29","78.68300000000002","78.68300000000002","78.68300000000002","74.91699999999999","74.91699999999999","74.91699999999999","48.483","48.483","48.483","89.46800000000002","89.46800000000002","89.46800000000002","87.44699999999999","87.44699999999999","87.44699999999999","87.92300000000002","87.92300000000002","87.92300000000002","87.12699999999998","87.12699999999998","87.12699999999998","0","0","0"
"30","78.026","78.026","78.026","73.859","73.859","73.859","48.28699999999999","48.28699999999999","48.28699999999999","89.45300000000002","89.45300000000002","89.45300000000002","87.48300000000002","87.48300000000002","87.48300000000002","87.83899999999998","87.83899999999998","87.83899999999998","87.10300000000001","87.10300000000001","87.10300000000001","0","0","0"
"31","79.081","79.081","79.081","74.87699999999998","74.87699999999998","74.87699999999998","51.276999999999994","51.276999999999994","51.276999999999994","89.44","89.44","89.44","87.32199999999999","87.32199999999999","87.32199999999999","87.75100000000002","87.75100000000002","87.75100000000002","87.144","87.144","87.144","0","0","0"
"32","77.421","77.421","77.421","73.48800000000001","73.48800000000001","73.48800000000001","48.15699999999999","48.15699999999999","48.15699999999999","89.43199999999999","89.43199999999999","89.43199999999999","87.475","87.475","87.475","87.67300000000002","87.67300000000002","87.67300000000002","87.06600000000002","87.06600000000002","87.06600000000002","0","0","0"
"33","77.42300000000002","77.42300000000002","77.42300000000002","73.739","73.739","73.739","49.288","49.288","49.288","89.42300000000002","89.42300000000002","89.42300000000002","87.435","87.435","87.435","87.80100000000002","87.80100000000002","87.80100000000002","87.03","87.03","87.03","0","0","0"
"34","77.37","77.37","77.37","74.634","74.634","74.634","50.35699999999999","50.35699999999999","50.35699999999999","89.409","89.409","89.409","87.44800000000001","87.44800000000001","87.44800000000001","87.71199999999999","87.71199999999999","87.71199999999999","87.17800000000001","87.17800000000001","87.17800000000001","0","0","0"
"35","76.604","76.604","76.604","73.97300000000001","73.97300000000001","73.97300000000001","50.60300000000001","50.60300000000001","50.60300000000001","89.40100000000001","89.40100000000001","89.40100000000001","87.35100000000001","87.35100000000001","87.35100000000001","87.62100000000001","87.62100000000001","87.62100000000001","87.03699999999999","87.03699999999999","87.03699999999999","0","0","0"
"36","76.37800000000001","76.37800000000001","76.37800000000001","72.99699999999999","72.99699999999999","72.99699999999999","52.02300000000001","52.02300000000001","52.02300000000001","89.394","89.394","89.394","87.22899999999998","87.22899999999998","87.22899999999998","87.58600000000001","87.58600000000001","87.58600000000001","87.01800000000001","87.01800000000001","87.01800000000001","0","0","0"
"37","75.666","75.666","75.666","74.23","74.23","74.23","50.49699999999999","50.49699999999999","50.49699999999999","89.39100000000002","89.39100000000002","89.39100000000002","87.35","87.35","87.35","87.64199999999998","87.64199999999998","87.64199999999998","87.075","87.075","87.075","0","0","0"
"38","76.45800000000001","76.45800000000001","76.45800000000001","73.80500000000002","73.80500000000002","73.80500000000002","52.30199999999999","52.30199999999999","52.30199999999999","89.38399999999999","89.38399999999999","89.38399999999999","87.19800000000001","87.19800000000001","87.19800000000001","87.58699999999999","87.58699999999999","87.58699999999999","86.90399999999998","86.90399999999998","86.90399999999998","0","0","0"
"39","76.345","76.345","76.345","73.296","73.296","73.296","51.77400000000001","51.77400000000001","51.77400000000001","89.38","89.38","89.38","87.27600000000001","87.27600000000001","87.27600000000001","87.53300000000002","87.53300000000002","87.53300000000002","86.995","86.995","86.995","0","0","0"
"40","76.78699999999999","76.78699999999999","76.78699999999999","74.439","74.439","74.439","51.78199999999999","51.78199999999999","51.78199999999999","89.37699999999998","89.37699999999998","89.37699999999998","87.15699999999998","87.15699999999998","87.15699999999998","87.45800000000001","87.45800000000001","87.45800000000001","86.94399999999999","86.94399999999999","86.94399999999999","0","0","0"
"41","75.68199999999999","75.68199999999999","75.68199999999999","74.169","74.169","74.169","51.47","51.47","51.47","89.375","89.375","89.375","87.095","87.095","87.095","87.52699999999999","87.52699999999999","87.52699999999999","86.894","86.894","86.894","0","0","0"
"42","75.90800000000002","75.90800000000002","75.90800000000002","73.556","73.556","73.556","52.668000000000006","52.668000000000006","52.668000000000006","89.37699999999998","89.37699999999998","89.37699999999998","87.13899999999998","87.13899999999998","87.13899999999998","87.44399999999999","87.44399999999999","87.44399999999999","86.97","86.97","86.97","0","0","0"
"43","75.101","75.101","75.101","74.066","74.066","74.066","50.84199999999999","50.84199999999999","50.84199999999999","89.37899999999999","89.37899999999999","89.37899999999999","87.10199999999999","87.10199999999999","87.10199999999999","87.44399999999999","87.44399999999999","87.44399999999999","86.94100000000002","86.94100000000002","86.94100000000002","0","0","0"
"44","75.584","75.584","75.584","73.934","73.934","73.934","51.50800000000001","51.50800000000001","51.50800000000001","89.37699999999998","89.37699999999998","89.37699999999998","86.98699999999998","86.98699999999998","86.98699999999998","87.41699999999999","87.41699999999999","87.41699999999999","86.93100000000001","86.93100000000001","86.93100000000001","0","0","0"
"45","75.451","75.451","75.451","73.44199999999998","73.44199999999998","73.44199999999998","54.24699999999999","54.24699999999999","54.24699999999999","89.37800000000001","89.37800000000001","89.37800000000001","87.03","87.03","87.03","87.28899999999999","87.28899999999999","87.28899999999999","86.81100000000002","86.81100000000002","86.81100000000002","0","0","0"
"46","75.669","75.669","75.669","73.306","73.306","73.306","53.62400000000001","53.62400000000001","53.62400000000001","89.38100000000001","89.38100000000001","89.38100000000001","86.98399999999998","86.98399999999998","86.98399999999998","87.27100000000002","87.27100000000002","87.27100000000002","86.88300000000001","86.88300000000001","86.88300000000001","0","0","0"
"47","75.591","75.591","75.591","73.40000000000002","73.40000000000002","73.40000000000002","54.04","54.04","54.04","89.38699999999999","89.38699999999999","89.38699999999999","87.03899999999999","87.03899999999999","87.03899999999999","87.31899999999999","87.31899999999999","87.31899999999999","86.81300000000002","86.81300000000002","86.81300000000002","0","0","0"
"48","75.374","75.374","75.374","73.881","73.881","73.881","53.06900000000001","53.06900000000001","53.06900000000001","89.39100000000002","89.39100000000002","89.39100000000002","86.96199999999999","86.96199999999999","86.96199999999999","87.2","87.2","87.2","86.74600000000001","86.74600000000001","86.74600000000001","0","0","0"
"49","74.761","74.761","74.761","72.68000000000002","72.68000000000002","72.68000000000002","53.81","53.81","53.81","89.39600000000002","89.39600000000002","89.39600000000002","86.945","86.945","86.945","87.16899999999998","87.16899999999998","87.16899999999998","86.69100000000002","86.69100000000002","86.69100000000002","0","0","0"
"50","74.709","74.709","74.709","73.69699999999999","73.69699999999999","73.69699999999999","53.785999999999994","53.785999999999994","53.785999999999994","89.40100000000001","89.40100000000001","89.40100000000001","86.93100000000001","86.93100000000001","86.93100000000001","87.216","87.216","87.216","86.66","86.66","86.66","0","0","0"
