"Step","zerofl-a1.0-s0.95-cifar_lda1000.0-FedAvgNZ-e1-lr0.5 - sparsity","zerofl-a1.0-s0.95-cifar_lda1000.0-FedAvgNZ-e1-lr0.5 - sparsity__MIN","zerofl-a1.0-s0.95-cifar_lda1000.0-FedAvgNZ-e1-lr0.5 - sparsity__MAX","zerofl-a1.0-s0.95-cifar_lda1.0-FedAvgNZ-e1-lr0.5 - sparsity","zerofl-a1.0-s0.95-cifar_lda1.0-FedAvgNZ-e1-lr0.5 - sparsity__MIN","zerofl-a1.0-s0.95-cifar_lda1.0-FedAvgNZ-e1-lr0.5 - sparsity__MAX","zerofl-a1.0-s0.95-cifar10_lda0.1-FedAvgNZ-e1-lr0.5 - sparsity","zerofl-a1.0-s0.95-cifar10_lda0.1-FedAvgNZ-e1-lr0.5 - sparsity__MIN","zerofl-a1.0-s0.95-cifar10_lda0.1-FedAvgNZ-e1-lr0.5 - sparsity__MAX","resnet18-cifar_lda1000.0-FedAvg-e1-lr0.5 - sparsity","resnet18-cifar_lda1000.0-FedAvg-e1-lr0.5 - sparsity__MIN","resnet18-cifar_lda1000.0-FedAvg-e1-lr0.5 - sparsity__MAX","resnet18-cifar_lda1.0-FedAvg-e1-lr0.5 - sparsity","resnet18-cifar_lda1.0-FedAvg-e1-lr0.5 - sparsity__MIN","resnet18-cifar_lda1.0-FedAvg-e1-lr0.5 - sparsity__MAX","resnet18-cifar10_lda0.1-FedAvg-e1-lr0.5 - sparsity","resnet18-cifar10_lda0.1-FedAvg-e1-lr0.5 - sparsity__MIN","resnet18-cifar10_lda0.1-FedAvg-e1-lr0.5 - sparsity__MAX","power_swat-a1.25-s0.95-cifar10_lda1000.0-FedAvg-e1-lr0.5 - sparsity","power_swat-a1.25-s0.95-cifar10_lda1000.0-FedAvg-e1-lr0.5 - sparsity__MIN","power_swat-a1.25-s0.95-cifar10_lda1000.0-FedAvg-e1-lr0.5 - sparsity__MAX","power_swat-a1.25-s0.95-cifar10_lda1.0-FedAvg-e1-lr0.5 - sparsity","power_swat-a1.25-s0.95-cifar10_lda1.0-FedAvg-e1-lr0.5 - sparsity__MIN","power_swat-a1.25-s0.95-cifar10_lda1.0-FedAvg-e1-lr0.5 - sparsity__MAX","power_swat-a1.25-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - sparsity","power_swat-a1.25-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - sparsity__MIN","power_swat-a1.25-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - sparsity__MAX","powerprop-a1.0-s0.95-cifar_lda1000.0-FedAvg-e1-lr0.5 - sparsity","powerprop-a1.0-s0.95-cifar_lda1000.0-FedAvg-e1-lr0.5 - sparsity__MIN","powerprop-a1.0-s0.95-cifar_lda1000.0-FedAvg-e1-lr0.5 - sparsity__MAX","powerprop-a1.0-s0.95-cifar_lda1.0-FedAvg-e1-lr0.5 - sparsity","powerprop-a1.0-s0.95-cifar_lda1.0-FedAvg-e1-lr0.5 - sparsity__MIN","powerprop-a1.0-s0.95-cifar_lda1.0-FedAvg-e1-lr0.5 - sparsity__MAX","powerprop-a1.0-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - sparsity","powerprop-a1.0-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - sparsity__MIN","powerprop-a1.0-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - sparsity__MAX"
"1","82.4","82.4","82.4","80.2","80.2","80.2","80.04000000000002","80.04000000000002","80.04000000000002","0","0","0","0","0","0","0","0","0","91.87600000000002","91.87600000000002","91.87600000000002","91.54399999999998","91.54399999999998","91.54399999999998","92.06399999999998","92.06399999999998","92.06399999999998","87.9","87.9","87.9","86.4","86.4","86.4","83.98399999999998","83.98399999999998","83.98399999999998"
"2","89","89","89","82.2","82.2","82.2","84.06199999999998","84.06199999999998","84.06199999999998","0","0","0","0","0","0","0","0","0","94.69899999999998","94.69899999999998","94.69899999999998","94.64100000000002","94.64100000000002","94.64100000000002","94.61100000000002","94.61100000000002","94.61100000000002","89.2","89.2","89.2","89.1","89.1","89.1","85.01199999999999","85.01199999999999","85.01199999999999"
"3","90","90","90","82.6","82.6","82.6","85.78899999999999","85.78899999999999","85.78899999999999","0","0","0","0","0","0","0","0","0","94.85","94.85","94.85","94.83300000000001","94.83300000000001","94.83300000000001","94.81300000000002","94.81300000000002","94.81300000000002","88.5","88.5","88.5","87.1","87.1","87.1","86.61699999999999","86.61699999999999","86.61699999999999"
"4","88.3","88.3","88.3","84.3","84.3","84.3","85.54600000000002","85.54600000000002","85.54600000000002","0","0","0","0","0","0","0","0","0","94.87300000000002","94.87300000000002","94.87300000000002","94.85199999999999","94.85199999999999","94.85199999999999","94.83399999999999","94.83399999999999","94.83399999999999","91.4","91.4","91.4","91","91","91","92.10899999999998","92.10899999999998","92.10899999999998"
"5","88","88","88","81.8","81.8","81.8","84.91100000000002","84.91100000000002","84.91100000000002","0","0","0","0","0","0","0","0","0","94.87399999999998","94.87399999999998","94.87399999999998","94.855","94.855","94.855","94.83600000000001","94.83600000000001","94.83600000000001","93.8","93.8","93.8","92.6","92.6","92.6","92.60100000000001","92.60100000000001","92.60100000000001"
"6","87.6","87.6","87.6","80.7","80.7","80.7","84.74399999999999","84.74399999999999","84.74399999999999","0","0","0","0","0","0","0","0","0","94.875","94.875","94.875","94.85399999999998","94.85399999999998","94.85399999999998","94.83100000000002","94.83100000000002","94.83100000000002","93.9","93.9","93.9","93.8","93.8","93.8","93.91800000000002","93.91800000000002","93.91800000000002"
"7","87.5","87.5","87.5","76.3","76.3","76.3","84.86399999999999","84.86399999999999","84.86399999999999","0","0","0","0","0","0","0","0","0","94.87100000000001","94.87100000000001","94.87100000000001","94.84399999999998","94.84399999999998","94.84399999999998","94.82899999999998","94.82899999999998","94.82899999999998","94.1","94.1","94.1","93.9","93.9","93.9","93.94300000000001","93.94300000000001","93.94300000000001"
"8","88.1","88.1","88.1","74.7","74.7","74.7","84.54100000000001","84.54100000000001","84.54100000000001","0","0","0","0","0","0","0","0","0","94.86100000000002","94.86100000000002","94.86100000000002","94.84600000000002","94.84600000000002","94.84600000000002","94.82100000000001","94.82100000000001","94.82100000000001","94.3","94.3","94.3","93.9","93.9","93.9","94.08699999999999","94.08699999999999","94.08699999999999"
"9","87.2","87.2","87.2","74.5","74.5","74.5","84.59699999999998","84.59699999999998","84.59699999999998","0","0","0","0","0","0","0","0","0","94.856","94.856","94.856","94.83699999999999","94.83699999999999","94.83699999999999","94.82199999999999","94.82199999999999","94.82199999999999","94.4","94.4","94.4","93.9","93.9","93.9","94.30100000000002","94.30100000000002","94.30100000000002"
"10","86.2","86.2","86.2","75.59999999999998","75.59999999999998","75.59999999999998","84.79800000000002","84.79800000000002","84.79800000000002","0","0","0","0","0","0","0","0","0","94.84600000000002","94.84600000000002","94.84600000000002","94.83300000000001","94.83300000000001","94.83300000000001","94.81199999999998","94.81199999999998","94.81199999999998","94.5","94.5","94.5","94","94","94","94.39300000000001","94.39300000000001","94.39300000000001"
"11","87","87","87","76","76","76","84.79300000000002","84.79300000000002","84.79300000000002","0","0","0","0","0","0","0","0","0","94.83800000000001","94.83800000000001","94.83800000000001","94.82800000000002","94.82800000000002","94.82800000000002","94.81100000000002","94.81100000000002","94.81100000000002","94.5","94.5","94.5","94.1","94.1","94.1","94.495","94.495","94.495"
"12","87.4","87.4","87.4","74.09999999999998","74.09999999999998","74.09999999999998","84.58800000000001","84.58800000000001","84.58800000000001","0","0","0","0","0","0","0","0","0","94.82899999999998","94.82899999999998","94.82899999999998","94.825","94.825","94.825","94.805","94.805","94.805","94.5","94.5","94.5","94.3","94.3","94.3","94.47800000000001","94.47800000000001","94.47800000000001"
"13","85.5","85.5","85.5","76.3","76.3","76.3","85.00899999999999","85.00899999999999","85.00899999999999","0","0","0","0","0","0","0","0","0","94.81699999999998","94.81699999999998","94.81699999999998","94.815","94.815","94.815","94.805","94.805","94.805","94.5","94.5","94.5","94.3","94.3","94.3","94.39","94.39","94.39"
"14","86","86","86","74.59999999999998","74.59999999999998","74.59999999999998","85.09899999999999","85.09899999999999","85.09899999999999","0","0","0","0","0","0","0","0","0","94.80899999999998","94.80899999999998","94.80899999999998","94.81199999999998","94.81199999999998","94.81199999999998","94.795","94.795","94.795","94.5","94.5","94.5","94.4","94.4","94.4","94.49199999999999","94.49199999999999","94.49199999999999"
"15","85.5","85.5","85.5","74.5","74.5","74.5","85.26300000000002","85.26300000000002","85.26300000000002","0","0","0","0","0","0","0","0","0","94.79600000000002","94.79600000000002","94.79600000000002","94.805","94.805","94.805","94.79","94.79","94.79","94.5","94.5","94.5","94.5","94.5","94.5","94.54699999999998","94.54699999999998","94.54699999999998"
"16","86.2","86.2","86.2","75.09999999999998","75.09999999999998","75.09999999999998","85.31199999999998","85.31199999999998","85.31199999999998","0","0","0","0","0","0","0","0","0","94.78899999999999","94.78899999999999","94.78899999999999","94.79300000000002","94.79300000000002","94.79300000000002","94.78800000000001","94.78800000000001","94.78800000000001","94.5","94.5","94.5","94.4","94.4","94.4","94.60899999999998","94.60899999999998","94.60899999999998"
"17","85.7","85.7","85.7","74.40000000000002","74.40000000000002","74.40000000000002","85.08300000000001","85.08300000000001","85.08300000000001","0","0","0","0","0","0","0","0","0","94.77800000000002","94.77800000000002","94.77800000000002","94.77600000000001","94.77600000000001","94.77600000000001","94.78","94.78","94.78","94.6","94.6","94.6","94.3","94.3","94.3","94.61199999999998","94.61199999999998","94.61199999999998"
"18","85.6","85.6","85.6","74.3","74.3","74.3","85.36600000000001","85.36600000000001","85.36600000000001","0","0","0","0","0","0","0","0","0","94.765","94.765","94.765","94.77199999999999","94.77199999999999","94.77199999999999","94.76600000000002","94.76600000000002","94.76600000000002","94.6","94.6","94.6","94.4","94.4","94.4","94.615","94.615","94.615"
"19","85.1","85.1","85.1","75.3","75.3","75.3","85.39600000000002","85.39600000000002","85.39600000000002","0","0","0","0","0","0","0","0","0","94.75100000000002","94.75100000000002","94.75100000000002","94.75600000000001","94.75600000000001","94.75600000000001","94.77","94.77","94.77","94.6","94.6","94.6","94.4","94.4","94.4","94.66800000000002","94.66800000000002","94.66800000000002"
"20","85.3","85.3","85.3","74.90000000000002","74.90000000000002","74.90000000000002","85.59199999999998","85.59199999999998","85.59199999999998","0","0","0","0","0","0","0","0","0","94.74100000000001","94.74100000000001","94.74100000000001","94.745","94.745","94.745","94.76100000000001","94.76100000000001","94.76100000000001","94.6","94.6","94.6","94.4","94.4","94.4","94.61100000000002","94.61100000000002","94.61100000000002"
"21","85.3","85.3","85.3","74.7","74.7","74.7","85.70399999999998","85.70399999999998","85.70399999999998","0","0","0","0","0","0","0","0","0","94.73","94.73","94.73","94.735","94.735","94.735","94.75600000000001","94.75600000000001","94.75600000000001","94.6","94.6","94.6","94.4","94.4","94.4","94.58699999999999","94.58699999999999","94.58699999999999"
"22","84.6","84.6","84.6","73.90000000000002","73.90000000000002","73.90000000000002","85.79100000000001","85.79100000000001","85.79100000000001","0","0","0","0","0","0","0","0","0","94.715","94.715","94.715","94.70800000000001","94.70800000000001","94.70800000000001","94.74800000000002","94.74800000000002","94.74800000000002","94.6","94.6","94.6","94.3","94.3","94.3","94.645","94.645","94.645"
"23","84.7","84.7","84.7","73.3","73.3","73.3","85.725","85.725","85.725","0","0","0","0","0","0","0","0","0","94.701","94.701","94.701","94.716","94.716","94.716","94.73800000000001","94.73800000000001","94.73800000000001","94.6","94.6","94.6","94.4","94.4","94.4","94.73600000000002","94.73600000000002","94.73600000000002"
"24","84.8","84.8","84.8","75.40000000000002","75.40000000000002","75.40000000000002","86.07100000000001","86.07100000000001","86.07100000000001","0","0","0","0","0","0","0","0","0","94.68800000000002","94.68800000000002","94.68800000000002","94.705","94.705","94.705","94.73300000000002","94.73300000000002","94.73300000000002","94.6","94.6","94.6","94.4","94.4","94.4","94.69899999999998","94.69899999999998","94.69899999999998"
"25","84.6","84.6","84.6","74.5","74.5","74.5","86.035","86.035","86.035","0","0","0","0","0","0","0","0","0","94.67699999999999","94.67699999999999","94.67699999999999","94.68699999999998","94.68699999999998","94.68699999999998","94.71899999999998","94.71899999999998","94.71899999999998","94.6","94.6","94.6","94.4","94.4","94.4","94.70399999999998","94.70399999999998","94.70399999999998"
"26","83.8","83.8","83.8","74.3","74.3","74.3","86.02","86.02","86.02","0","0","0","0","0","0","0","0","0","94.66199999999999","94.66199999999999","94.66199999999999","94.69100000000002","94.69100000000002","94.69100000000002","94.71899999999998","94.71899999999998","94.71899999999998","94.6","94.6","94.6","94.5","94.5","94.5","94.716","94.716","94.716"
"27","84.6","84.6","84.6","73.2","73.2","73.2","86.28199999999998","86.28199999999998","86.28199999999998","0","0","0","0","0","0","0","0","0","94.65399999999998","94.65399999999998","94.65399999999998","94.67600000000002","94.67600000000002","94.67600000000002","94.71199999999999","94.71199999999999","94.71199999999999","94.6","94.6","94.6","94.5","94.5","94.5","94.70600000000002","94.70600000000002","94.70600000000002"
"28","83.9","83.9","83.9","73.8","73.8","73.8","86.50600000000001","86.50600000000001","86.50600000000001","0","0","0","0","0","0","0","0","0","94.63899999999998","94.63899999999998","94.63899999999998","94.66300000000001","94.66300000000001","94.66300000000001","94.70300000000002","94.70300000000002","94.70300000000002","94.6","94.6","94.6","94.4","94.4","94.4","94.72199999999998","94.72199999999998","94.72199999999998"
"29","83.8","83.8","83.8","74.40000000000002","74.40000000000002","74.40000000000002","85.87","85.87","85.87","0","0","0","0","0","0","0","0","0","94.62899999999999","94.62899999999999","94.62899999999999","94.64699999999999","94.64699999999999","94.64699999999999","94.68300000000002","94.68300000000002","94.68300000000002","94.6","94.6","94.6","94.5","94.5","94.5","94.716","94.716","94.716"
"30","84.6","84.6","84.6","73.40000000000002","73.40000000000002","73.40000000000002","86.37800000000001","86.37800000000001","86.37800000000001","0","0","0","0","0","0","0","0","0","94.62","94.62","94.62","94.63899999999998","94.63899999999998","94.63899999999998","94.68399999999998","94.68399999999998","94.68399999999998","94.6","94.6","94.6","94.5","94.5","94.5","94.75600000000001","94.75600000000001","94.75600000000001"
"31","83.3","83.3","83.3","73.09999999999998","73.09999999999998","73.09999999999998","86.40300000000002","86.40300000000002","86.40300000000002","0","0","0","0","0","0","0","0","0","94.606","94.606","94.606","94.63399999999999","94.63399999999999","94.63399999999999","94.67699999999999","94.67699999999999","94.67699999999999","94.6","94.6","94.6","94.5","94.5","94.5","94.71100000000001","94.71100000000001","94.71100000000001"
"32","84.2","84.2","84.2","73.7","73.7","73.7","86.11800000000001","86.11800000000001","86.11800000000001","0","0","0","0","0","0","0","0","0","94.59899999999999","94.59899999999999","94.59899999999999","94.615","94.615","94.615","94.66199999999999","94.66199999999999","94.66199999999999","94.7","94.7","94.7","94.5","94.5","94.5","94.74199999999999","94.74199999999999","94.74199999999999"
"33","83.9","83.9","83.9","73.7","73.7","73.7","86.09300000000002","86.09300000000002","86.09300000000002","0","0","0","0","0","0","0","0","0","94.59300000000002","94.59300000000002","94.59300000000002","94.60899999999998","94.60899999999998","94.60899999999998","94.66899999999998","94.66899999999998","94.66899999999998","94.6","94.6","94.6","94.5","94.5","94.5","94.76199999999999","94.76199999999999","94.76199999999999"
"34","83.8","83.8","83.8","73.5","73.5","73.5","86.82100000000001","86.82100000000001","86.82100000000001","0","0","0","0","0","0","0","0","0","94.585","94.585","94.585","94.595","94.595","94.595","94.644","94.644","94.644","94.6","94.6","94.6","94.5","94.5","94.5","94.72399999999999","94.72399999999999","94.72399999999999"
"35","85.6","85.6","85.6","73.90000000000002","73.90000000000002","73.90000000000002","86.7","86.7","86.7","0","0","0","0","0","0","0","0","0","94.57800000000002","94.57800000000002","94.57800000000002","94.591","94.591","94.591","94.64199999999998","94.64199999999998","94.64199999999998","94.6","94.6","94.6","94.5","94.5","94.5","94.71899999999998","94.71899999999998","94.71899999999998"
