"Step","zerofl-a1.0-s0.95-cifar_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.95-cifar_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.95-cifar_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.95-cifar_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.95-cifar_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.95-cifar_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.95-cifar10_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.95-cifar10_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.95-cifar10_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","resnet18-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","resnet18-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","resnet18-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","resnet18-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","resnet18-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","resnet18-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","resnet18-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","resnet18-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","resnet18-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.95-cifar10_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.95-cifar10_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.95-cifar10_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.95-cifar10_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.95-cifar10_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.95-cifar10_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.95-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.95-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.95-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.95-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.95-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.95-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX"
"0","0.0991","0.0991","0.0991","0.1064","0.1064","0.1064","0.1002","0.1002","0.1002","0.1","0.1","0.1","0.0848","0.0848","0.0848","0.0936","0.0936","0.0936","0.099","0.099","0.099","0.0993","0.0993","0.0993","0.0922","0.0922","0.0922","0.0938","0.0938","0.0938","0.1","0.1","0.1","0.1","0.1","0.1"
"1","0.099","0.099","0.099","0.129","0.129","0.129","0.062","0.062","0.062","0.1","0.1","0.1","0.128","0.128","0.128","0.228","0.228","0.228","0.087","0.087","0.087","0.089","0.089","0.089","0.211","0.211","0.211","0.101","0.101","0.101","0.128","0.128","0.128","0.104","0.104","0.104"
"2","0.094","0.094","0.094","0.092","0.092","0.092","0.044","0.044","0.044","0.085","0.085","0.085","0.07","0.07","0.07","0.03","0.03","0.03","0.079","0.079","0.079","0.097","0.097","0.097","0.205","0.205","0.205","0.114","0.114","0.114","0.091","0.091","0.091","0.205","0.205","0.205"
"3","0.119","0.119","0.119","0.113","0.113","0.113","0.015","0.015","0.015","0.178","0.178","0.178","0.142","0.142","0.142","0.238","0.238","0.238","0.181","0.181","0.181","0.156","0.156","0.156","0.025","0.025","0.025","0.092","0.092","0.092","0.094","0.094","0.094","0.025","0.025","0.025"
"4","0.103","0.103","0.103","0.103","0.103","0.103","0.104","0.104","0.104","0.228","0.228","0.228","0.157","0.157","0.157","0.15","0.15","0.15","0.215","0.215","0.215","0.159","0.159","0.159","0.087","0.087","0.087","0.094","0.094","0.094","0.09","0.09","0.09","0.087","0.087","0.087"
"5","0.107","0.107","0.107","0.123","0.123","0.123","0.055","0.055","0.055","0.239","0.239","0.239","0.17","0.17","0.17","0.11","0.11","0.11","0.207","0.207","0.207","0.157","0.157","0.157","0.186","0.186","0.186","0.138","0.138","0.138","0.084","0.084","0.084","0.057","0.057","0.057"
"6","0.101","0.101","0.101","0.091","0.091","0.091","0.033","0.033","0.033","0.266","0.266","0.266","0.24","0.24","0.24","0.13","0.13","0.13","0.272","0.272","0.272","0.235","0.235","0.235","0.039","0.039","0.039","0.096","0.096","0.096","0.089","0.089","0.089","0.032","0.032","0.032"
"7","0.102","0.102","0.102","0.141","0.141","0.141","0.131","0.131","0.131","0.293","0.293","0.293","0.134","0.134","0.134","0.221","0.221","0.221","0.319","0.319","0.319","0.24","0.24","0.24","0.173","0.173","0.173","0.106","0.106","0.106","0.093","0.093","0.093","0.106","0.106","0.106"
"8","0.105","0.105","0.105","0.082","0.082","0.082","0.232","0.232","0.232","0.274","0.274","0.274","0.203","0.203","0.203","0.04","0.04","0.04","0.347","0.347","0.347","0.242","0.242","0.242","0.179","0.179","0.179","0.103","0.103","0.103","0.124","0.124","0.124","0.076","0.076","0.076"
"9","0.121","0.121","0.121","0.158","0.158","0.158","0.055","0.055","0.055","0.273","0.273","0.273","0.303","0.303","0.303","0.279","0.279","0.279","0.303","0.303","0.303","0.262","0.262","0.262","0.247","0.247","0.247","0.106","0.106","0.106","0.095","0.095","0.095","0.095","0.095","0.095"
"10","0.094","0.094","0.094","0.082","0.082","0.082","0.198","0.198","0.198","0.335","0.335","0.335","0.244","0.244","0.244","0.15","0.15","0.15","0.359","0.359","0.359","0.274","0.274","0.274","0.131","0.131","0.131","0.092","0.092","0.092","0.094","0.094","0.094","0.02","0.02","0.02"
