"Step","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX"
"0","0.01","0.01","0.01","0.0098","0.0098","0.0098","0.0113","0.0113","0.0113","0.0141","0.0141","0.0141","0.01","0.01","0.01","0.0078","0.0078","0.0078","0.01","0.01","0.01"
"1","0.01","0.01","0.01","0.011","0.011","0.011","0.005","0.005","0.005","0.001","0.001","0.001","0.009","0.009","0.009","0.007","0.007","0.007","0.012","0.012","0.012"
"2","0.001","0.001","0.001","0.009","0.009","0.009","0.007","0.007","0.007","0.03","0.03","0.03","0.009","0.009","0.009","0.005","0.005","0.005","0.014","0.014","0.014"
"3","0.01","0.01","0.01","0.007","0.007","0.007","0.012","0.012","0.012","0.01","0.01","0.01","0.014","0.014","0.014","0.011","0.011","0.011","0.015","0.015","0.015"
"4","0","0","0","0.007","0.007","0.007","0.013","0.013","0.013","0.014","0.014","0.014","0.007","0.007","0.007","0.005","0.005","0.005","0.026","0.026","0.026"
"5","0.006","0.006","0.006","0.007","0.007","0.007","0.01","0.01","0.01","0.036","0.036","0.036","0.009","0.009","0.009","0.015","0.015","0.015","0.03","0.03","0.03"
"6","0.009","0.009","0.009","0.004","0.004","0.004","0.01","0.01","0.01","0.011","0.011","0.011","0.009","0.009","0.009","0.013","0.013","0.013","0.037","0.037","0.037"
"7","0.007","0.007","0.007","0.011","0.011","0.011","0.013","0.013","0.013","0.001","0.001","0.001","0.006","0.006","0.006","0.008","0.008","0.008","0.052","0.052","0.052"
"8","0.015","0.015","0.015","0.009","0.009","0.009","0.008","0.008","0.008","0.013","0.013","0.013","0.022","0.022","0.022","0.007","0.007","0.007","0.048","0.048","0.048"
"9","0.013","0.013","0.013","0.012","0.012","0.012","0.007","0.007","0.007","0.013","0.013","0.013","0.015","0.015","0.015","0.009","0.009","0.009","0.07","0.07","0.07"
"10","0.003","0.003","0.003","0.009","0.009","0.009","0.006","0.006","0.006","0.01","0.01","0.01","0.014","0.014","0.014","0.036","0.036","0.036","0.106","0.106","0.106"
"11","0.008","0.008","0.008","0.011","0.011","0.011","0.006","0.006","0.006","0.016","0.016","0.016","0.023","0.023","0.023","0.032","0.032","0.032","0.081","0.081","0.081"
"12","0.003","0.003","0.003","0.007","0.007","0.007","0.012","0.012","0.012","0.014","0.014","0.014","0.017","0.017","0.017","0.021","0.021","0.021","0.075","0.075","0.075"
"13","0.01","0.01","0.01","0.018","0.018","0.018","0.013","0.013","0.013","0.003","0.003","0.003","0.023","0.023","0.023","0.027","0.027","0.027","0.098","0.098","0.098"
"14","0","0","0","0.012","0.012","0.012","0.007","0.007","0.007","0.009","0.009","0.009","0.021","0.021","0.021","0.047","0.047","0.047","0.084","0.084","0.084"
"15","0.006","0.006","0.006","0.004","0.004","0.004","0.009","0.009","0.009","0.001","0.001","0.001","0.035","0.035","0.035","0.041","0.041","0.041","0.107","0.107","0.107"
"16","0.002","0.002","0.002","0.006","0.006","0.006","0.008","0.008","0.008","0.003","0.003","0.003","0.027","0.027","0.027","0.045","0.045","0.045","0.113","0.113","0.113"
"17","0.022","0.022","0.022","0.003","0.003","0.003","0.014","0.014","0.014","0.041","0.041","0.041","0.04","0.04","0.04","0.036","0.036","0.036","0.111","0.111","0.111"
"18","0.011","0.011","0.011","0.004","0.004","0.004","0.017","0.017","0.017","0.019","0.019","0.019","0.033","0.033","0.033","0.055","0.055","0.055","0.116","0.116","0.116"
"19","0.004","0.004","0.004","0.015","0.015","0.015","0.01","0.01","0.01","0.02","0.02","0.02","0.045","0.045","0.045","0.056","0.056","0.056","0.122","0.122","0.122"
"20","0.001","0.001","0.001","0.005","0.005","0.005","0.009","0.009","0.009","0.018","0.018","0.018","0.041","0.041","0.041","0.052","0.052","0.052","0.122","0.122","0.122"
"21","0.032","0.032","0.032","0.009","0.009","0.009","0.009","0.009","0.009","0.046","0.046","0.046","0.053","0.053","0.053","0.046","0.046","0.046","0.122","0.122","0.122"
"22","0.013","0.013","0.013","0.004","0.004","0.004","0.012","0.012","0.012","0.036","0.036","0.036","0.05","0.05","0.05","0.063","0.063","0.063","0.143","0.143","0.143"
"23","0.03","0.03","0.03","0.009","0.009","0.009","0.007","0.007","0.007","0.006","0.006","0.006","0.057","0.057","0.057","0.051","0.051","0.051","0.126","0.126","0.126"
"24","0.009","0.009","0.009","0.006","0.006","0.006","0.012","0.012","0.012","0.022","0.022","0.022","0.057","0.057","0.057","0.061","0.061","0.061","0.138","0.138","0.138"
"25","0.013","0.013","0.013","0.01","0.01","0.01","0.013","0.013","0.013","0.082","0.082","0.082","0.042","0.042","0.042","0.049","0.049","0.049","0.138","0.138","0.138"
"26","0.029","0.029","0.029","0.012","0.012","0.012","0.014","0.014","0.014","0.053","0.053","0.053","0.054","0.054","0.054","0.057","0.057","0.057","0.136","0.136","0.136"
"27","0.014","0.014","0.014","0.009","0.009","0.009","0.011","0.011","0.011","0.035","0.035","0.035","0.041","0.041","0.041","0.079","0.079","0.079","0.156","0.156","0.156"
"28","0.006","0.006","0.006","0.008","0.008","0.008","0.021","0.021","0.021","0.056","0.056","0.056","0.07","0.07","0.07","0.074","0.074","0.074","0.153","0.153","0.153"
"29","0.01","0.01","0.01","0.006","0.006","0.006","0.004","0.004","0.004","0.04","0.04","0.04","0.052","0.052","0.052","0.094","0.094","0.094","0.18","0.18","0.18"
"30","0.003","0.003","0.003","0.011","0.011","0.011","0.02","0.02","0.02","0.043","0.043","0.043","0.076","0.076","0.076","0.086","0.086","0.086","0.174","0.174","0.174"
"31","0.012","0.012","0.012","0.007","0.007","0.007","0.022","0.022","0.022","0.049","0.049","0.049","0.069","0.069","0.069","0.083","0.083","0.083","0.173","0.173","0.173"
"32","0.019","0.019","0.019","0.014","0.014","0.014","0.024","0.024","0.024","0.039","0.039","0.039","0.051","0.051","0.051","0.081","0.081","0.081","0.176","0.176","0.176"
"33","0.024","0.024","0.024","0.011","0.011","0.011","0.012","0.012","0.012","0.062","0.062","0.062","0.078","0.078","0.078","0.097","0.097","0.097","0.19","0.19","0.19"
