"Step","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.0-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.0-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.0-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX"
"0","0.0113","0.0113","0.0113","0.0098","0.0098","0.0098","0.01","0.01","0.01","0.01","0.01","0.01","0.0078","0.0078","0.0078","0.01","0.01","0.01","0.0141","0.0141","0.0141","0.0108","0.0108","0.0108"
"1","0.005","0.005","0.005","0.011","0.011","0.011","0.01","0.01","0.01","0.012","0.012","0.012","0.007","0.007","0.007","0.009","0.009","0.009","0.001","0.001","0.001","0.008","0.008","0.008"
"2","0.007","0.007","0.007","0.009","0.009","0.009","0.001","0.001","0.001","0.014","0.014","0.014","0.005","0.005","0.005","0.009","0.009","0.009","0.03","0.03","0.03","0.01","0.01","0.01"
"3","0.012","0.012","0.012","0.007","0.007","0.007","0.01","0.01","0.01","0.015","0.015","0.015","0.011","0.011","0.011","0.014","0.014","0.014","0.01","0.01","0.01","0.02","0.02","0.02"
"4","0.013","0.013","0.013","0.007","0.007","0.007","0","0","0","0.026","0.026","0.026","0.005","0.005","0.005","0.007","0.007","0.007","0.014","0.014","0.014","0.038","0.038","0.038"
"5","0.01","0.01","0.01","0.007","0.007","0.007","0.006","0.006","0.006","0.03","0.03","0.03","0.015","0.015","0.015","0.009","0.009","0.009","0.036","0.036","0.036","0.024","0.024","0.024"
"6","0.01","0.01","0.01","0.004","0.004","0.004","0.009","0.009","0.009","0.037","0.037","0.037","0.013","0.013","0.013","0.009","0.009","0.009","0.011","0.011","0.011","0.043","0.043","0.043"
"7","0.013","0.013","0.013","0.011","0.011","0.011","0.007","0.007","0.007","0.052","0.052","0.052","0.008","0.008","0.008","0.006","0.006","0.006","0.001","0.001","0.001","0.033","0.033","0.033"
"8","0.008","0.008","0.008","0.009","0.009","0.009","0.015","0.015","0.015","0.048","0.048","0.048","0.007","0.007","0.007","0.022","0.022","0.022","0.013","0.013","0.013","0.042","0.042","0.042"
"9","0.007","0.007","0.007","0.012","0.012","0.012","0.013","0.013","0.013","0.07","0.07","0.07","0.009","0.009","0.009","0.015","0.015","0.015","0.013","0.013","0.013","0.051","0.051","0.051"
"10","0.006","0.006","0.006","0.009","0.009","0.009","0.003","0.003","0.003","0.106","0.106","0.106","0.036","0.036","0.036","0.014","0.014","0.014","0.01","0.01","0.01","0.063","0.063","0.063"
"11","0.006","0.006","0.006","0.011","0.011","0.011","0.008","0.008","0.008","0.081","0.081","0.081","0.032","0.032","0.032","0.023","0.023","0.023","0.016","0.016","0.016","0.068","0.068","0.068"
"12","0.012","0.012","0.012","0.007","0.007","0.007","0.003","0.003","0.003","0.075","0.075","0.075","0.021","0.021","0.021","0.017","0.017","0.017","0.014","0.014","0.014","0.071","0.071","0.071"
"13","0.013","0.013","0.013","0.018","0.018","0.018","0.01","0.01","0.01","0.098","0.098","0.098","0.027","0.027","0.027","0.023","0.023","0.023","0.003","0.003","0.003","0.078","0.078","0.078"
"14","0.007","0.007","0.007","0.012","0.012","0.012","0","0","0","0.084","0.084","0.084","0.047","0.047","0.047","0.021","0.021","0.021","0.009","0.009","0.009","0.091","0.091","0.091"
"15","0.009","0.009","0.009","0.004","0.004","0.004","0.006","0.006","0.006","0.107","0.107","0.107","0.041","0.041","0.041","0.035","0.035","0.035","0.001","0.001","0.001","0.08","0.08","0.08"
"16","0.008","0.008","0.008","0.006","0.006","0.006","0.002","0.002","0.002","0.113","0.113","0.113","0.045","0.045","0.045","0.027","0.027","0.027","0.003","0.003","0.003","0.075","0.075","0.075"
"17","0.014","0.014","0.014","0.003","0.003","0.003","0.022","0.022","0.022","0.111","0.111","0.111","0.036","0.036","0.036","0.04","0.04","0.04","0.041","0.041","0.041","0.099","0.099","0.099"
